,Locus tag,Mean count,L v S log2 FC,Locus,Protein name
2740,PA3792,503.9210716,-0.005575607,leuA,2-isopropylmalate synthase
2741,PA3440,13.67486688,-0.005425637,-,hypothetical protein PA3440
2742,PA2559,228.99834080000002,-0.005199489,-,hypothetical protein PA2559
2743,PA4044,491.671598,-0.004668801,dxs,1-deoxy-D-xylulose-5-phosphate synthase
2744,PA0330,124.4991952,-0.004351573,rpiA,ribose-5-phosphate isomerase A
2745,PA5364,135.7241674,-0.003994977,-,two-component response regulator
2746,PA2248,24.89983904,-0.003604855,bkdA2,2-oxoisovalerate dehydrogenase subunit beta
2747,PA0319,61.02465024,-0.003419952,-,hypothetical protein PA0319
2748,PA5345,144.4992448,-0.003002851,recG,ATP-dependent DNA helicase RecG
2749,PA4970,47.34978336,-0.002137536,-,hypothetical protein PA4970
2750,PA4770,186.9492387,-0.001740359,lldP,L-lactate permease
2751,PA1507,512.4734314,-0.000608002,-,transporter
2752,PA5458,238.17431009999999,-0.000454166,-,acyltransferase
2753,PA1421,123.47469380000001,2.20E-08,gbuA,guanidinobutyrase
2754,PA5532,33.67491648,5.20E-08,NaN,NaN
2755,PA2213,22.44994432,6.30E-08,-,porin
2756,PA3804,22.44994432,6.30E-08,-,hypothetical protein PA3804
2757,PA5280,22.44994432,6.30E-08,sss,site-specific tyrosine recombinase XerC
2758,PA0674,11.22497216,7.63E-08,vreA,hypothetical protein PA0674
2759,PA2240,11.22497216,7.63E-08,pslJ,biofilm formation protein PslJ
2760,PA2429,11.22497216,7.63E-08,-,hypothetical protein PA2429
2761,PA2723,11.22497216,7.63E-08,-,hypothetical protein PA2723
2762,PA2745,11.22497216,7.63E-08,-,hydrolase
2763,PA3119,11.22497216,7.63E-08,-,hypothetical protein PA3119
2764,PA2760,98.57485473,0.001093431,-,hypothetical protein PA2760
2765,PA1860,197.1497095,0.001099897,-,hypothetical protein PA1860
2766,PA4074,239.5997034,0.001354298,-,transcriptional regulator
2767,PA5528,194.6998147,0.001670737,-,hypothetical protein PA5528
2768,PA4844,169.7999757,0.002555582,-,chemotaxis transducer
2769,PA0470,495.7250602,0.002733871,fiuA,ferrichrome receptor FiuA
2770,PA5011,31.22502176,0.003021746,waaC,heptosyltransferase I
2771,PA0923,104.9000375,0.003088365,dinB,DNA polymerase IV
2772,PA3576,345.9251341,0.003091504,-,hypothetical protein PA3576
2773,PA2489,261.0251463,0.003309154,-,transcriptional regulator
2774,PA3984,301.0252455,0.003572231,lnt,apolipoprotein N-acyltransferase
2775,PA1268,20.0000496,0.004232475,-,4-hydroxyproline 2-epimerase
2776,PA2008,20.0000496,0.004232475,fahA,fumarylacetoacetase
2777,PA3731,20.0000496,0.004232475,-,hypothetical protein PA3731
2778,PA2547,71.22512097,0.004457453,-,transcriptional regulator
2779,PA1424,142.4502419,0.004568808,-,hypothetical protein PA1424
2780,PA3092,111.22522020000001,0.004861538,fadH1,"2,4-dienoyl-CoA reductase"
2781,PA5386,40.00009921,0.004933468,cdhA,3-hydroxybutyryl-CoA dehydrogenase
2782,PA4679,48.77517665,0.006250397,-,hypothetical protein PA4679
2783,PA0512,8.775077442999999,0.006829472,-,heme d1 biosynthesis protein NirH
2784,PA0970,8.775077442999999,0.006829472,tolR,translocation protein TolR
2785,PA1306,8.775077442999999,0.006829472,-,HIT family protein
2786,PA2329,8.775077442999999,0.006829472,-,ABC transporter ATP-binding protein
2787,PA2894,8.775077442999999,0.006829472,-,hypothetical protein PA2894
2788,PA2962,8.775077442999999,0.006829472,tmk,thymidylate kinase
2789,PA3085,8.775077442999999,0.006829472,-,hypothetical protein PA3085
2790,PA3386,8.775077442999999,0.006829472,-,hypothetical protein PA3386
2791,PA3918,8.775077442999999,0.006829472,moaC,molybdenum cofactor biosynthesis protein MoaC
2792,PA4421,8.775077442999999,0.006829472,-,cell division protein MraZ
2793,PA4892,8.775077442999999,0.006829472,ureF,urease accessory protein UreF
2794,PA3559,482.85197710000006,0.006928067,-,nucleotide sugar dehydrogenase
2795,PA1147,37.55020449,0.007799887,-,amino acid permease
2796,PA2634,95.10045858,0.007922974,aceA,isocitrate lyase
2797,PA1841,483.25286889999995,0.008868439,-,hypothetical protein PA1841
2798,PA0056,55.10035937,0.009363572,-,transcriptional regulator
2799,PA1012,35.10030977,0.010993689,-,hypothetical protein PA1012
2800,PA1822,43.87538721,0.011407548,fimL,hypothetical protein PA1822
2801,PA3523,70.20061954,0.012045487,-,resistance-nodulation-cell division (RND) efflux membrane fusion protein
2802,PA1678,225.70211880000002,0.012951233,-,50S ribosomal protein L3 glutamine methyltransferase
2803,PA5533,225.70211880000002,0.012951233,-,hypothetical protein PA5533
2804,PA4200,264.6777166,0.013864898,-,hypothetical protein PA4200
2805,PA4033,50.20056994,0.014223643,-,hypothetical protein PA4033
2806,PA4574,50.20056994,0.014223643,-,hypothetical protein PA4574
2807,PA2593,41.4254925,0.0143708,qteE,quorum threshold expression protein QteE
2808,PA3481,41.4254925,0.0143708,-,hypothetical protein PA3481
2809,PA3429,109.17621729999999,0.014851581,-,epoxide hydrolase
2810,PA1027,15.10026017,0.01531647,-,aldehyde dehydrogenase
2811,PA2045,15.10026017,0.01531647,-,membrane protein insertion efficiency factor
2812,PA2657,15.10026017,0.01531647,-,two-component response regulator
2813,PA3343,15.10026017,0.01531647,-,hypothetical protein PA3343
2814,PA5374,15.10026017,0.01531647,betI,BetI family transcriptional regulator
2815,PA2517,6.325182725,0.015394492,xylY,"toluate 1,2-dioxygenase subunit beta"
2816,PA2896,6.325182725,0.015394492,-,RNA polymerase sigma factor
2817,PA3805,6.325182725,0.015394492,pilF,type 4 fimbrial biogenesis protein PilF
2818,PA5276,6.325182725,0.015394492,lppL,lipopeptide LppL
2819,PA1743,156.9268925,0.015900733,-,hypothetical protein PA1743
2820,PA2792,65.30083011,0.016084556,-,hypothetical protein PA2792
2821,PA3908,65.30083011,0.016084556,-,hypothetical protein PA3908
2822,PA3357,89.17616772,0.016851807,dsdA,D-serine dehydratase
2823,PA0164,47.75067522,0.016975295,-,gamma-glutamyltranspeptidase
2824,PA4840,38.97559778,0.017643961,-,translation initiation factor Sui1
2825,PA5439,38.97559778,0.017643961,-,glucose-6-phosphate 1-dehydrogenase
2826,PA1379,208.55285580000003,0.017666632,-,short-chain dehydrogenase
2827,PA0846,95.50135044,0.018035894,-,sulfate transporter CysZ
2828,PA0310,62.85093539,0.018315748,-,hypothetical protein PA0310
2829,PA0471,62.85093539,0.018315748,-,transmembrane sensor
2830,PA0217,110.60161059999999,0.018574855,-,transcriptional regulator
2831,PA2908,30.20052034,0.018616822,cbiD,cobalt-precorrin-5B C(1)-methyltransferase
2832,PA4812,251.40374159999996,0.018911901,fdnG,formate dehydrogenase-O major subunit
2833,PA2585,69.17611811,0.019838882,uvrC,excinuclease ABC subunit C
2834,PA0363,45.3007805,0.019980417,coaD,phosphopantetheine adenylyltransferase
2835,PA1234,21.42544289,0.020142442,-,hypothetical protein PA1234
2836,PA3317,21.42544289,0.020142442,-,hypothetical protein PA3317
2837,PA4749,21.42544289,0.020142442,glmM,phosphoglucosamine mutase
2838,PA3484,84.27637828,0.0203202,-,hypothetical protein PA3484
2839,PA4495,60.40104067,0.020707921,-,hypothetical protein PA4495
2840,PA5188,60.40104067,0.020707921,-,3-hydroxyacyl-CoA dehydrogenase
2841,PA1337,36.52570306,0.021278565,ansB,glutaminase-asparaginase
2842,PA2313,127.12726409999998,0.022164447,NaN,NaN
2843,PA1821,12.65036545,0.022701845,-,enoyl-CoA hydratase
2844,PA1537,103.2519265,0.022997519,-,Baeyer-Villiger monooxygenase
2845,PA0602,27.75062562,0.023213353,-,ABC transporter
2846,PA2886,27.75062562,0.023213353,atuA,hypothetical protein PA2886
2847,PA5379,73.05140612,0.023222779,sdaB,L-serine dehydratase
2848,PA5395,42.85088579,0.023275472,-,hypothetical protein PA5395
2849,PA4126,57.95114595,0.023278513,-,major facilitator superfamily transporter
2850,PA5146,146.1028122,0.023758521,-,hypothetical protein PA5146
2851,PA2749,225.4794011,0.024006941,endA,DNA-specific endonuclease I
2852,PA3821,79.37658885,0.02418462,secD,preprotein translocase subunit SecD
2853,PA1270,49.17606851,0.024822373,-,hypothetical protein PA1270
2854,PA5567,49.17606851,0.024822373,-,tRNA modification GTPase TrmE
2855,PA2298,34.07580834,0.025338795,-,oxidoreductase
2856,PA2303,34.07580834,0.025338795,ambD,protein AmbD
2857,PA0694,3.875288008,0.025342841,exbD2,transporter ExbD
2858,PA2166,3.875288008,0.025342841,-,hypothetical protein PA2166
2859,PA4276,3.875288008,0.025342841,secE,preprotein translocase subunit SecE
2860,PA4541.1,3.875288008,0.025342841,NaN,NaN
2861,PA5238,267.3057855,0.026238335,-,O-antigen acetylase
2862,PA1098,18.97554818,0.026339668,fleS,two-component sensor
2863,PA3853,18.97554818,0.026339668,-,transferase
2864,PA3937,18.97554818,0.026339668,-,taurine ABC transporter ATP-binding protein
2865,PA4096,18.97554818,0.026339668,-,major facilitator superfamily transporter
2866,PA2926,104.6773197,0.026818836,hisP,histidine ABC transporter ATP-binding protein HisP
2867,PA0519,83.25187686,0.026979229,nirS,nitrite reductase
2868,PA3547,61.82643396,0.02703729,algL,alginate lyase
2869,PA4380,61.82643396,0.02703729,-,two-component sensor
2870,PA0064,328.10771800000003,0.028092619,-,hypothetical protein PA0064
2871,PA4114,25.300730899999998,0.028484066,-,spermidine acetyltransferase
2872,PA4670,25.300730899999998,0.028484066,prs,ribose-phosphate pyrophosphokinase
2873,PA4735,244.8558411,0.028699278,-,hypothetical protein PA4735
2874,PA0877,476.0368154,0.028807104,-,transcriptional regulator
2875,PA1316,397.684728,0.028827096,-,major facilitator superfamily transporter
2876,PA0730,176.7042244,0.028849661,-,(R)-3-hydroxydecanoyl-ACP:CoA transacylase
2877,PA0193,53.05135652,0.02904076,-,hypothetical protein PA0193
2878,PA0135,1.42539329,0.029540356,-,hypothetical protein PA0135
2879,PA1030.1,1.42539329,0.029540356,NaN,NaN
2880,PA1715,1.42539329,0.029540356,pscB,type III export apparatus protein
2881,PA2090,1.42539329,0.029540356,-,hypothetical protein PA2090
2882,PA2134,1.42539329,0.029540356,-,hypothetical protein PA2134
2883,PA2161,1.42539329,0.029540356,-,hypothetical protein PA2161
2884,PA2368,1.42539329,0.029540356,-,hypothetical protein PA2368
2885,PA3094.1,1.42539329,0.029540356,NaN,NaN
2886,PA4541.2,1.42539329,0.029540356,NaN,NaN
2887,PA0925,31.62591363,0.029903653,-,hypothetical protein PA0925
2888,PA3349,31.62591363,0.029903653,-,chemotaxis protein
2889,PA2727,65.70172197,0.030389093,NaN,NaN
2890,EBG00001435425,152.8288868,0.030522346,NaN,NaN
2891,PA2783,106.102713,0.03053977,-,hypothetical protein PA2783
2892,PA3339,385.43525439999996,0.031176971,plpD,patatin-like protein
2893,PA1200,78.35208742,0.031278998,-,hypothetical protein PA1200
2894,PA4127,78.35208742,0.031278998,hpcG,"2-oxo-hepta-3-ene-1,7-dioic acid hydratase"
2895,PA3302,44.27627908,0.031690825,-,hypothetical protein PA3302
2896,PA5009,44.27627908,0.031690825,waaP,lipopolysaccharide kinase WaaP
2897,PA5293,44.27627908,0.031690825,-,transcriptional regulator
2898,PA0046,10.20047073,0.031821644,-,hypothetical protein PA0046
2899,PA2864,10.20047073,0.031821644,-,hypothetical protein PA2864
2900,PA4264,10.20047073,0.031821644,rpsJ,30S ribosomal protein S10
2901,PA5267,10.20047073,0.031821644,hcpB,secreted protein Hcp
2902,PA1703,75.9021927,0.033618672,pcrD,type III secretory apparatus protein PcrD
2903,PA2360,16.52565346,0.033725976,-,hypothetical protein PA2360
2904,PA2447,16.52565346,0.033725976,-,transcriptional regulator
2905,PA2906,16.52565346,0.033725976,-,oxidoreductase
2906,PA4847,16.52565346,0.033725976,accB,acetyl-CoA carboxylase biotin carboxyl carrier protein subunit
2907,PA5081,82.22737543,0.033794164,-,hypothetical protein PA5081
2908,PA3234,88.55255815,0.033927468,-,acetate permease
2909,PA0647,22.85083618,0.03458489,-,hypothetical protein PA0647
2910,PA4989,22.85083618,0.03458489,-,transcriptional regulator
2911,PA4217,846.7281579,0.034696778,phzS,hypothetical protein PA4217
2912,PA0150,29.17601891,0.035070613,-,transmembrane sensor
2913,PA4418,35.50120163,0.035392095,ftsI,penicillin-binding protein 3
2914,PA0119,73.45229799,0.036100677,-,C4-dicarboxylate transporter DctA
2915,PA0281,77.32758599,0.038548252,cysW,sulfate transporter CysW
2916,PA2729,167.30553740000002,0.038901746,-,hypothetical protein PA2729
2917,PA4338,45.70167237,0.039656467,-,acyltransferase
2918,PA4397,45.70167237,0.039656467,panE,2-dehydropantoate 2-reductase
2919,PA4263,39.37648964,0.039979805,rplC,50S ribosomal protein L3
2920,PA2806,223.2076805,0.040260472,-,7-cyano-7-deazaguanine reductase
2921,PA0753,33.05130692,0.040400084,-,hypothetical protein PA0753
2922,PA3951,33.05130692,0.040400084,-,hypothetical protein PA3951
2923,PA4260,33.05130692,0.040400084,rplB,50S ribosomal protein L2
2924,PA4855,33.05130692,0.040400084,purD,phosphoribosylamine--glycine ligase
2925,PA0083,26.72612419,0.040964546,-,hypothetical protein PA0083
2926,PA3136,104.05371020000001,0.041497701,-,secretion protein
2927,PA4964,149.7553826,0.042011658,parC,DNA topoisomerase IV subunit A
2928,PA2153,55.902143099999996,0.04251864,glgB,"1,4-alpha-glucan branching protein GlgB"
2929,PA2471,14.07575874,0.04263171,-,hypothetical protein PA2471
2930,PA5279,14.07575874,0.04263171,-,hypothetical protein PA5279
2931,PA2795,182.8066895,0.042713554,-,tRNA-dihydrouridine synthase A
2932,EBG00001435468,7.750576015,0.043080399,NaN,NaN
2933,PA1111,7.750576015,0.043080399,-,hypothetical protein PA1111
2934,PA1629,7.750576015,0.043080399,-,enoyl-CoA hydratase
2935,PA1771,7.750576015,0.043080399,estX,hydrolase
2936,PA2357,7.750576015,0.043080399,msuE,FMN reductase MsuE
2937,PA3098,7.750576015,0.043080399,xcpW,type II secretion system protein J
2938,PA3414,7.750576015,0.043080399,-,hypothetical protein PA3414
2939,PA4414,7.750576015,0.043080399,murD,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
2940,PA3598,43.25177765,0.043870571,-,hypothetical protein PA3598
2941,PA4514,180.35679480000002,0.043896614,-,iron transport outer membrane receptor
2942,PA4581,118.1294689,0.04398742,rtcR,transcriptional regulator RtcR
2943,PA4624,207.0829189,0.044478654,-,hypothetical protein PA4624
2944,PA0932,66.10261383,0.044534276,cysM,cysteine synthase B
2945,PA1336,36.92659492,0.044804852,-,two-component sensor
2946,PA4190,439.8674606000001,0.044815791,pqsL,monooxygenase
2947,PA0169,548.1973507,0.044903548,-,hypothetical protein PA0169
2948,PA3189,132.2052277,0.045918284,-,sugar ABC transporter permease
2949,PA2939,76.30308457,0.045997637,-,aminopeptidase
2950,PA4544,53.45224838,0.04615509,rluD,pseudouridine synthase
2951,PA0390,109.3543915,0.046454955,metX,homoserine O-acetyltransferase
2952,PA0476,879.6903777999999,0.046694711,-,permease
2953,PA0902,69.97790184,0.04680512,-,hypothetical protein PA0902
2954,PA3280,212.3836002,0.0469274,oprO,pyrophosphate-specific outer membrane porin OprO
2955,PA4116,47.12706566,0.047205743,bphO,heme oxygenase BphO
2956,PA0126,24.27622947,0.047745672,-,hypothetical protein PA0126
2957,PA3683,24.27622947,0.047745672,-,hypothetical protein PA3683
2958,PA4361,24.27622947,0.047745672,-,oxidoreductase
2959,PA0190,80.17837257,0.047910981,-,acid phosphatase
2960,PA1141,40.80188293,0.048507365,-,transcriptional regulator
2961,PA2130,127.3054382,0.049369674,cupA3,usher CupA3
2962,PA0668,190.9581573,0.049397892,tyrZ,tyrosine--tRNA ligase
2963,PA0280,110.7797848,0.049773831,cysA,sulfate.thiosulfate ABC transporter ATP-binding protein CysA
2964,PA2214,17.95104675,0.050148171,-,major facilitator superfamily transporter
2965,PA3871,17.95104675,0.050148171,-,PpiC-type peptidyl-prolyl cis-trans isomerase
2966,PA3455,61.2028244,0.051152437,-,hypothetical protein PA3455
2967,PA0670,124.85554350000001,0.051194193,-,hypothetical protein PA0670
2968,PA1033,87.92894859,0.051230152,-,glutathione S-transferase
2969,PA4035,118.5303608,0.052059073,-,hypothetical protein PA4035
2970,PA2709,28.15151748,0.052456589,cysK,cysteine synthase A
2971,PA3225,28.15151748,0.052456589,-,transcriptional regulator
2972,PA0635,11.62586402,0.053506848,-,hypothetical protein PA0635
2973,PA1619,11.62586402,0.053506848,-,transcriptional regulator
2974,PA2133,11.62586402,0.053506848,-,hypothetical protein PA2133
2975,PA3025,11.62586402,0.053506848,-,FAD-dependent glycerol-3-phosphate dehydrogenase
2976,PA3315,11.62586402,0.053506848,-,phosphonates ABC transporter permease
2977,PA4252,11.62586402,0.053506848,rplX,50S ribosomal protein L24
2978,PA1990,38.35198821,0.053634502,pqqH,peptidase
2979,PA5078,85.47905387,0.053874935,-,glucan biosynthesis protein G
2980,PA3224,531.2262618,0.054110798,-,hypothetical protein PA3224
2981,PA5194,558.3532779,0.055019028,-,hypothetical protein PA5194
2982,PA3290,298.66443780000003,0.055091224,-,hypothetical protein PA3290
2983,PA2116,79.15387115,0.055224019,-,hypothetical protein PA2116
2984,PA1273,21.82633476,0.055621735,cobB,"hydrogenobyrinate a,c-diamide synthase"
2985,PA3546,21.82633476,0.055621735,algX,alginate biosynthesis protein AlgX
2986,PA4301,21.82633476,0.055621735,tadB,type II secretion system protein TadB
2987,PA1595,32.02680549,0.056234345,-,hypothetical protein PA1595
2988,PA0723,5.300681298,0.056305831,coaB,phage coat protein B
2989,PA1355,5.300681298,0.056305831,-,hypothetical protein PA1355
2990,PA1428,5.300681298,0.056305831,-,hypothetical protein PA1428
2991,PA2208,5.300681298,0.056305831,-,hypothetical protein PA2208
2992,PA2606,5.300681298,0.056305831,-,sulfur relay protein TusC
2993,PA2845,5.300681298,0.056305831,-,hypothetical protein PA2845
2994,PA4934,5.300681298,0.056305831,rpsR,30S ribosomal protein S18
2995,PA5041,5.300681298,0.056305831,pilP,type 4 fimbrial biogenesis protein PilP
2996,PA2338,42.22727622,0.056546381,-,maltose/mannitol ABC transporter substrate-binding protein
2997,PA3542,97.10491789,0.057673786,alg44,alginate biosynthesis protein Alg44
2998,PA3467,86.90444716,0.057968819,-,major facilitator superfamily transporter
2999,PA1292,218.4860653,0.057989667,-,3-mercaptopyruvate sulfurtransferase
3000,PA0132,208.2855945,0.058260927,-,beta alanine--pyruvate transaminase
3001,PA0154,111.18067659999998,0.058348099,pcaG,"protocatechuate 3,4-dioxygenase subunit alpha"
3002,PA5016,111.18067659999998,0.058348099,aceF,dihydrolipoamide acetyltransferase
3003,PA5370,149.5326649,0.058753241,-,major facilitator superfamily transporter
3004,PA2809,46.10256423,0.059033723,copR,two-component response regulator CopR
3005,PA4337,35.9020935,0.059335536,-,hypothetical protein PA4337
3006,PA1084,25.70162276,0.059792084,flgI,flagellar basal body P-ring protein
3007,PA1216,25.70162276,0.059792084,-,hypothetical protein PA1216
3008,PA2486,15.50115203,0.060227348,-,hypothetical protein PA2486
3009,PA3548,94.65502318,0.060245392,algI,alginate o-acetylase AlgI
3010,PA5209,94.65502318,0.060245392,-,hypothetical protein PA5209
3011,PA1609,84.45455244,0.060827067,fabB,3-oxoacyl-ACP synthase
3012,PA5389,84.45455244,0.060827067,cdhR,CdhR family transcriptional regulator
3013,PA4986,803.2982061,0.061178633,-,oxidoreductase
3014,PA5378,39.7773815,0.061933972,-,hypothetical protein PA5378
3015,PA3633,186.8601516,0.062087944,ygbP,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
3016,PA2681,53.85314025,0.063040815,-,transcriptional regulator
3017,PA5079,29.57691077,0.06306836,-,D-tyrosyl-tRNA(Tyr) deacylase
3018,EBG00001435483,124.23193390000002,0.063651183,NaN,NaN
3019,PA0298,110.1561752,0.063782974,spuB,glutamine synthetase
3020,PA1203,19.37644004,0.064864218,-,hypothetical protein PA1203
3021,PA5142,19.37644004,0.064864218,hisH1,imidazole glycerol phosphate synthase subunit HisH
3022,PA4920,217.8624557,0.065113684,nadE,NAD synthetase
3023,PA1032,1077.597327,0.06525578,quiP,acyl-homoserine lactone acylase QuiP
3024,PA4941,33.45219878,0.065714924,hflC,protease subunit HflC
3025,PA4887,89.75523374,0.065780418,-,major facilitator superfamily transporter
3026,PA0019,47.52795752,0.06602526,def,peptide deformylase
3027,PA4037,47.52795752,0.06602526,-,ABC transporter ATP-binding protein
3028,PA4627,47.52795752,0.06602526,-,16S rRNA methyltransferase
3029,PA3222,183.3857555,0.06681458,-,hypothetical protein PA3222
3030,PA1870,9.175969306,0.066867572,-,hypothetical protein PA1870
3031,PA1983,9.175969306,0.066867572,exaB,cytochrome C550
3032,PA5295,133.40790330000002,0.067440265,-,hypothetical protein PA5295
3033,PA3890,115.4568565,0.067472043,-,ABC transporter permease
3034,PA0615,2.85078658,0.067766725,-,hypothetical protein PA0615
3035,PA1692,2.85078658,0.067766725,-,translocation protein in type III secretion
3036,PA2091,2.85078658,0.067766725,-,hypothetical protein PA2091
3037,PA2983,2.85078658,0.067766725,-,translocation protein TolQ
3038,PA3664,2.85078658,0.067766725,-,hypothetical protein PA3664
3039,PA5350,2.85078658,0.067766725,rubA2,rubredoxin
3040,PA3408,264.36591180000005,0.068165819,hasR,heme uptake outer membrane receptor HasR
3041,PA1106,927.6637707,0.068188517,-,hypothetical protein PA1106
3042,PA1024,23.25172805,0.068262188,-,nitronate monooxygenase
3043,PA1378,23.25172805,0.068262188,-,hypothetical protein PA1378
3044,PA2470,23.25172805,0.068262188,gtdA,"gentisate 1,2-dioxygenase"
3045,PA2963,23.25172805,0.068262188,-,hypothetical protein PA2963
3046,PA4884,23.25172805,0.068262188,-,hypothetical protein PA4884
3047,PA2624,301.6933986,0.068766645,idh,isocitrate dehydrogenase
3048,PA4375,166.860102,0.068898126,-,multidrug efflux protein
3049,EBG00001435421,0.40089186299999996,0.069315327,NaN,NaN
3050,PA0905.2,0.40089186299999996,0.069315327,NaN,NaN
3051,PA1664,0.40089186299999996,0.069315327,-,hypothetical protein PA1664
3052,PA1700,0.40089186299999996,0.069315327,-,hypothetical protein PA1700
3053,PA1718,0.40089186299999996,0.069315327,pscE,type III export protein PscE
3054,PA2362,0.40089186299999996,0.069315327,-,hypothetical protein PA2362
3055,PA2364,0.40089186299999996,0.069315327,-,hypothetical protein PA2364
3056,PA3094.2,0.40089186299999996,0.069315327,NaN,NaN
3057,PA3144,0.40089186299999996,0.069315327,NaN,NaN
3058,PA3294,0.40089186299999996,0.069315327,-,hypothetical protein PA3294
3059,PA4220,0.40089186299999996,0.069315327,-,hypothetical protein PA4220
3060,PA4746.2,0.40089186299999996,0.069315327,NaN,NaN
3061,PA5351,0.40089186299999996,0.069315327,rubA1,rubredoxin
3062,PA0547,95.05591504,0.070185588,-,transcriptional regulator
3063,PA1831,59.15382154,0.070307014,-,hypothetical protein PA1831
3064,PA4837,59.15382154,0.070307014,-,hypothetical protein PA4837
3065,PA4967,59.15382154,0.070307014,parE,DNA topoisomerase IV subunit B
3066,PA5381,116.8822498,0.070366134,-,hypothetical protein PA5381
3067,PA1056,27.12701605,0.070851139,-,monovalent cation/H+ antiporter subunit D
3068,PA1167,27.12701605,0.070851139,-,hypothetical protein PA1167
3069,PA2084,27.12701605,0.070851139,-,asparagine synthetase
3070,PA5154,27.12701605,0.070851139,-,ABC transporter permease
3071,PA5318,80.98015629999999,0.071188594,-,hypothetical protein PA5318
3072,PA3163,235.1898929,0.071744298,cmk,cytidylate kinase
3073,PA3851,84.85544431,0.071904199,-,hypothetical protein PA3851
3074,PA4902,48.95335081,0.072662321,-,transcriptional regulator
3075,PA5368,70.77968557,0.073200329,pstC,phosphate ABC transporter permease
3076,PA5131,74.65497357,0.073952564,pgm,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
3077,PA1695,34.87759207,0.074559977,pscP,translocation protein in type III secretion
3078,PA2918,60.57921483,0.075704059,-,short-chain dehydrogenase
3079,PA4206,60.57921483,0.075704059,mexH,resistance-nodulation-cell division (RND) efflux membrane fusion protein
3080,PA2417,16.92654532,0.075828198,-,transcriptional regulator
3081,PA4626,16.92654532,0.075828198,hprA,glycerate dehydrogenase
3082,PA5384,16.92654532,0.075828198,-,lipolytic protein
3083,PA3218,168.68638719999998,0.076504737,NaN,NaN
3084,PA2909,42.62816809,0.077120693,-,cobalt-precorrin-6x reductase
3085,PA3767,42.62816809,0.077120693,-,hypothetical protein PA3767
3086,PA4923,440.9810492,0.077417413,-,hypothetical protein PA4923
3087,PA1374,20.80183333,0.078138163,-,hypothetical protein PA1374
3088,PA1882,20.80183333,0.078138163,-,transporter
3089,PA2215,20.80183333,0.078138163,-,hypothetical protein PA2215
3090,PA4547,273.3191634,0.078887983,pilR,two-component response regulator PilR
3091,PA0067,144.41015769999998,0.079595098,prlC,oligopeptidase A
3092,PA0766,24.67712134,0.079788519,mucD,serine protease MucD
3093,PA3445,24.67712134,0.079788519,-,hypothetical protein PA3445
3094,PA2812,95.4568069,0.080043658,-,ABC transporter ATP-binding protein
3095,PA4438,58.12932012,0.080331936,-,hypothetical protein PA4438
3096,PA4468,233.54178190000002,0.081053732,sodM,superoxide dismutase
3097,PA3673,138.084975,0.081652076,plsB,glycerol-3-phosphate acyltransferase
3098,PA0622,69.75518414,0.081751006,-,bacteriophage protein
3099,PA1661,32.42769735,0.08202723,-,hypothetical protein PA1661
3100,PA4415,32.42769735,0.08202723,mraY,phospho-N-acetylmuramoyl-pentapeptide-transferase
3101,PA5541,215.5907351,0.082374734,pyrQ,dihydroorotase
3102,PA0357,77.50576015,0.082404084,mutM,formamidopyrimidine-DNA glycosylase
3103,PA1861,81.38104816,0.082662251,modC,molybdenum ABC transporter ATP-binding protein ModC
3104,PA3775,36.30298536,0.082832987,-,hypothetical protein PA3775
3105,PA3996,85.25633617,0.082880433,lis,lipoyl synthase
3106,PA0765,6.7260745879999995,0.082930944,mucC,positive regulator for alginate biosynthesis MucC
3107,PA1324.1,6.7260745879999995,0.082930944,NaN,NaN
3108,PA1362,6.7260745879999995,0.082930944,-,hypothetical protein PA1362
3109,PA2143,6.7260745879999995,0.082930944,-,hypothetical protein PA2143
3110,PA3332,6.7260745879999995,0.082930944,-,hypothetical protein PA3332
3111,PA4577,6.7260745879999995,0.082930944,-,hypothetical protein PA4577
3112,PA1258,40.17827337,0.083511945,-,ABC transporter permease
3113,PA0065,135.6350803,0.083915128,-,5\'-nucleotidase
3114,PA2555,47.92884938,0.084567084,-,AMP-binding protein
3115,PA2571,47.92884938,0.084567084,-,two-component sensor
3116,PA3682,51.80413739,0.084972904,-,hypothetical protein PA3682
3117,EBG00001435448,678.1308578,0.085369099,NaN,NaN
3118,PA3374,63.43000141,0.085834538,-,hypothetical protein PA3374
3119,PA4502,71.18057743,0.086187554,-,ABC transporter
3120,PA5288,113.8087455,0.086476238,glnK,nitrogen regulatory protein P-II 2
3121,PA0742,10.601362599999998,0.087304302,-,hypothetical protein PA0742
3122,PA2087,10.601362599999998,0.087304302,-,hypothetical protein PA2087
3123,PA2380,10.601362599999998,0.087304302,-,hypothetical protein PA2380
3124,PA4359,10.601362599999998,0.087304302,-,ferrous iron transporter A
3125,EBG00001435463,14.4766506,0.088997286,NaN,NaN
3126,PA0537,14.4766506,0.088997286,-,hypothetical protein PA0537
3127,PA2430,14.4766506,0.088997286,-,hypothetical protein PA2430
3128,PA2741,14.4766506,0.088997286,rplT,50S ribosomal protein L20
3129,PA0992,18.35193861,0.089774461,cupC1,fimbrial subunit CupC1
3130,PA3029,18.35193861,0.089774461,moaB2,molybdopterin biosynthesis protein B
